,displayName,description,abbreviation,value,perGameValue,rank
14,Two Point Rush Conversion,The number of times a 2-point is converted with a run.,2PTRUC,2.0,,2
15,One Point Safeties Made,One Point Safeties Made,OPSM,0.0,,1
0,Total 1st downs,The the number of first downs.,CMP,326.0,19.0,22
1,Passing 1st downs,The number of times a pass results in a first down.,FDP,189.0,11.0,16
2,1st downs by penalty,The number of times a penalty results in a first down.,FDPEN,22.0,1.0,28
3,First Downs Per Game,The average number of first downs per game.,FD/G,19.176,19.0,22
4,Rushing 1st downs,The number of times a rush results in a first down.,FDR,115.0,6.0,15
5,First Downs Attempts,The number of attempts at getting a first down.,FDA,41.0,2.0,2
6,4th down %,The percentage of fourth down attempts that are converted.,4THC%,43.902,38.52899932861328,24
7,Fourth Down Conversions,The number of times a fourth down is converted.,4THC,18.0,1.0,4
8,Fumbles Lost,The number of times the ball has been fumbled and lost to the opposing team .,LST,8.0,,20
9,Possession Time Seconds,The total time of possession in seconds.,POSS,30840.0,1814.0,14
10,Red Zone Efficiency Percentage,The percentage of red zone attempts that are converted.,CMP,68.51,,12
11,Red Zone Field Goal Percentage,The percentage of red zone trips that end in a field goal.,RZFG%,27.27,,15
12,Red Zone Scoring Percentage,The percentage of red zone trips that result in a score.,RZ%,84.09,58.0,14
13,Red Zone Touchdown Percentage,The percentage of red zone trips that result in a touchdown.,RZTD%,56.82,,11
14,Third Down Attempts,The number of 3rd down attempts.,3RDA,233.0,13.0,5
15,3rd down %,The percentage of 3rd downs that are converted.,3RDC%,35.193,35.16899871826172,26
16,Third Down Conversions,The number of 3rd down conversions.,3RDC,82.0,4.0,20
17,Total Giveaways,The total number of giveaways.,TGV,25.0,,4
18,Total Penalties,The total number of total penalties.,TPEN,118.0,6.0,1
19,Total Penalty Yards,The total number of penalty yards.,TPY,916.0,53.0,4
20,Total Takeaways,The total number of takeaways.,TT,20.0,,20
21,Total Drives,The total number of drives.,D,0.0,,1
22,Turnover Ratio,Difference between take-aways and give-aways,DIFF,-5.0,,26
