teamName ,displayName,description,abbreviation,value,perGameValue,rank
Ravens,Punt Return Yards,The total yardage of punt returns.,YDS,360,21,2
Ravens,Special Team Fumbles Returns,The number of special team fumble returns.,STFR,0,,1
Ravens,Special Team Fumble Return Yards,The amount of total yardage from special team fumble returns.,STFRYD,0,,1
Ravens,Team Games Played,The numbers of team games played.,GP,17,,1
Ravens,Yards Per Kick Return,The average number of yards per kick return.,AVG,23.031,16.72400093,13
Ravens,Yards Per Punt Return,The average number of yards per punt return.,AVG,13.846,9.338000298,1
Ravens,Yards Per Return,The average number of yards per return.,YDS/R,18.914,,7
Ravens,Average Punt Return Yards,The average number of yards per punt return.,AVG,7.355,10.58300018,26
Ravens,Fair Catches,The number of fair catches.,FC,16,,15
Ravens,Gross Average Punt Yards,The average gross number of yards per punt.,AVG,44.352,44.70800018,24
Ravens,Long Punt,The distance of the longest punt.,LNG,61,52,30
Ravens,Net Average Punt Yards,The average net number of yards per punt.,NET,41.141,41.51499939,22
Ravens,Punt Returns,The number of times a punt was returned.,ATT,31,1,9
Ravens,Punt Return Yards,The total amount of yardage of punt returns.,YDS,228,13,21
Ravens,Punts,The number of punts taken.,PUNTS,71,4,9
Ravens,Punts Blocked,The number of times a punt was blocked.,PBLK,0,,10
Ravens,Punts Blocked Percentage,The percentage of punts that are blocked.,PBLK%,0,,10
Ravens,Punts Inside 10,The number of times a punt is downed inside the 10.,P 10,8,,12
Ravens,Punts Inside 10 Percentage,The percentage of punts that end up inside the 10.,P 10%,11.268,,19
Ravens,Punts Inside 20,The number of times a punt is downed inside the 20.,IN20,26,1,8
Ravens,Punts Inside 20 Percentage,The percentage of punts that end up inside the 10.,IN20%,36.62,36.82400131,15
Ravens,Punt Yards,The total amount of yardage of punts.,YDS,3149,185,13
Ravens,Team Games Played,The numbers of team games played.,GP,17,,1
Ravens,Touchback Percentage,The percentage of punts that are touchbacks.,TB%,5.634,4.762000084,17
Ravens,Touchbacks,The number of kickoffs that result in touchbacks.,TB,4,,14
Ravens,Defensive Points,The number of points scored on defense.,DP,0,,8
Ravens,Field Goals,The number of field goals made.,FG,35,2,4
Ravens,Kick Extra Points,The number of extra points made.,PAT,32,1,20
Ravens,Miscellaneous Points,The number of miscellaneous points scored.,MISP,0,,1
Ravens,Passing Touchdowns,The total number of passing touchdowns.,PASS,21,1,20
Ravens,Receiving Touchdowns,The total number of receiving touchdowns.,REC,21,1,20
Ravens,Return Touchdowns,The total number of return touchdowns.,RET,1,,23
Ravens,Rushing Touchdowns,The total number of rushing touchdowns.,RUSH,18,1,9
Ravens,Total Points,The number of total points scored.,PTS,387,22,17
Ravens,Total Points Per Game,The number of points scored per game.,TP/G,22.765,,17
Ravens,Total Touchdowns,The number of touchdowns scored in total.,TD,40,2,19
Ravens,Total Two Point Conversions,The number of times a 2-point conversion is successful.,2PT,2,,12
Ravens,Two Point Pass Conversions,The number of times a 2-point conversion is successful with a pass.,2PTPC,2,,6
Ravens,Two Point Receiving Conversion,The number of times a 2-point is converted with a reception.,2PTRCC,2,,6
Ravens,Two Point Rush Conversion,The number of times a 2-point is converted with a run.,2PTRUC,0,,18
Ravens,One Point Safeties Made,One Point Safeties Made,OPSM,0,,1
Ravens,Total 1st downs,The the number of first downs.,CMP,394,23,5
Ravens,Passing 1st downs,The number of times a pass results in a first down.,FDP,209,12,10
Ravens,1st downs by penalty,The number of times a penalty results in a first down.,FDPEN,26,1,28
Ravens,First Downs Per Game,The average number of first downs per game.,FD/G,23.176,23,5
Ravens,Rushing 1st downs,The number of times a rush results in a first down.,FDR,159,9,2
Ravens,First Downs Attempts,The number of attempts at getting a first down.,FDA,27,1,13
Ravens,4th down %,The percentage of fourth down attempts that are converted.,4THC%,66.667,50,1
Ravens,Fourth Down Conversions,The number of times a fourth down is converted.,4THC,18,1,3
Ravens,Fumbles Lost,The number of times the ball has been fumbled and lost to the opposing team .,LST,8,,
Ravens,Possession Time Seconds,The total time of possession in seconds.,POSS,33942,1996,2
Ravens,Red Zone Efficiency Percentage,The percentage of red zone attempts that are converted.,CMP,68.88,,17
Ravens,Red Zone Field Goal Percentage,The percentage of red zone trips that end in a field goal.,RZFG%,23.21,,26
Ravens,Red Zone Scoring Percentage,The percentage of red zone trips that result in a score.,RZ%,82.14,58,19
Ravens,Red Zone Touchdown Percentage,The percentage of red zone trips that result in a touchdown.,RZTD%,58.93,,16
Ravens,Third Down Attempts,The number of 3rd down attempts.,3RDA,225,13,9
Ravens,3rd down %,The percentage of 3rd downs that are converted.,3RDC%,36.444,36.20399857,25
Ravens,Third Down Conversions,The number of 3rd down conversions.,3RDC,82,4,21
Ravens,Total Giveaways,The total number of giveaways.,TGV,26,,
Ravens,Total Penalties,The total number of total penalties.,TPEN,102,6,18
Ravens,Total Penalty Yards,The total number of penalty yards.,TPY,852,50,18
Ravens,Total Takeaways,The total number of takeaways.,TT,15,,
Ravens,Total Drives,The total number of drives.,D,0,,
Ravens,Turnover Ratio,Difference between take-aways and give-aways,DIFF,-11,,
Cardinals,Fumbles,The number of times a player/team has fumbled the ball,FUM,30,1,1
Cardinals,Fumbles Lost,The number of times a fumble is recovered by the opposing team,LST,4,,32
Cardinals,Forced Fumbles,The total number of forced fumbles.,FF,22,1,17
Cardinals,Fumbles Recovered,The number of fumbles recovered.,FR,14,2,1
Cardinals,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown.,FTD,1,,4
Cardinals,Games Played,Games Played,GP,17,,1
Cardinals,Two Point Returns,The number of two point attempts that is returned by the offense.,2PTR,0,,1
Cardinals,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown by the offense.,OFTD,0,,4
Cardinals,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown by the defense.,DFTD,1,,4
Cardinals,Average Gain,The average gained yards per position.,AG,584.361,,14
Cardinals,Completion Percentage,The percentage of completed passes.,CMP%,70.22,70.76899719,1
Cardinals,Completions,The times a player completes a pass to another player who is eligible to catch a pass.,CMP,415,24,7
Cardinals,ESPN Quarterback Rating,The quarterback rating used to compare overall offensive performance relative to other positions.,EQBR,6179,,10
Cardinals,Interception Percentage,The percentage of passes thrown that were intercepted by the opposing team.,INT%,1.861,1.81099999,9
Cardinals,Interceptions,The number of passes thrown that were intercepted by the opposing team.,INT,11,,7
Cardinals,Longest Pass,The longest pass play completed in terms of yards.,LNG,77,39,6
Cardinals,Miscellaneous Yards,The number of miscellaneous yards.,MISC,0,,1
Cardinals,Net Passing Yards,The amount of net passing yards.,NYDS,4276,251,10
Cardinals,Net Passing Yards Per Game,The amount of net passing yards per game.,NYDS/G,251.52942,,10
Cardinals,Net Total Yards,The amount of net total yards.,NTYDS,6352,,8
Cardinals,Net Yards Per Game,The amount of net total yards per game.,NTYDS/G,373.64706,,8
Cardinals,Passing Attempts,The number of times a pass is attempted.,ATT,591,34,18
Cardinals,Passing Big Plays,The number of times a pass results in a big play.,BIGP,62,,8
Cardinals,Passing 1st downs,The number of times a pass results in a first down.,FIRST,214,12,9
Cardinals,Passing Fumbles,The number of times the ball has been fumbled after a completed pass.,FUM,5,,30
Cardinals,Passing Fumbles Lost,The number of times the ball has been fumbled and lost to the opposing team after a completed pass.,FL,2,,27
Cardinals,Passing Touchdown %,The percentage of passes that result in a touchdown.,TD%,4.569,2.941176414,14
Cardinals,Passing Touchdowns,The total number of passing touchdowns.,TD,27,1,12
Cardinals,Passing Yards,The total passing yards.,YDS,4619,271,8
Cardinals,Passing Yards After Catch,The amount of passing yards after catch.,PYAC,2288,,7
Cardinals,Passing Yards At Catch,The amount of passing yards when the catch is made.,PY@C,2331,,10
Cardinals,Passing Yards Per Game,The number of passing yards per game.,YDS/G,271.706,,8
Cardinals,Passer Rating,Passer Rating,RTG,100.6425,96.41976166,45
Cardinals,Total Sacks,The total number of sacks.,SACK,39,2,15
Cardinals,Sack Yards Lost,The amount of yards lost due to sacks.,SYL,343,20,28
Cardinals,Net Passing Attempts,Net Passing Attempts.,NATT,630,36,33
Cardinals,Team Games Played,The amount of games played.,TGP,17,,1
Cardinals,Total Offensive Plays,The number of total offensive plays.,TOP,1126,65,40
Cardinals,Total Points,The number of total points scored.,PTS,449,27,11
Cardinals,Total Points Per Game,The number of points scored per game.,TP,26.412,,11
Cardinals,Total Touchdowns,The number of touchdowns scored in total.,TD,52,3,8
Cardinals,Total Yards,The number of yards accumulated in total.,TYDS,6695,373,6
Cardinals,Total Yards From Scrimmage,The amound of total yards from the line of scrimmage.,CMP,0,,1
Cardinals,Two Point Pass Conversions,The number of times a 2-point conversion is successful with a pass.,2PTPC,-1,-1,1
Cardinals,Two Point Pass,The number of times a pass was thrown for 2 points.,2PTP,0,,25
Cardinals,Two Point Pass Attempts,The number of times a pass was attempted on a 2-point conversion.,2PTPA,3,1,14
Cardinals,Yards From Scrimmage Per Game,The yards gained from scrimmage per game.,SCRIM/G,0,,1
Cardinals,Yards Per Completion,The average number of yards per pass completion.,CMP,11.13,10.32400036,14
Cardinals,Yards Per Game,The average number of yards per game.,YDS/G,393.824,,6
Cardinals,Yards Per Pass Attempt,The average number yards per pass attempt.,AVG,7.816,7.945000172,4
Cardinals,Net Yards Per Pass Attempt,The average number net yards (taking sack yardage into account) per pass attempt.,NYDS/PA,6.787301587,6.972222222,
Cardinals,Quarterback Rating,Quarterback Rating.,RAT,100.6425,96.41976166,45
Cardinals,Average Gain,The average gained yards per position.,AG,584.361,,14
Cardinals,ESPN RB Rating,The ESPN Widereceiver Rating.,ESPNRB,2821,,7
Cardinals,Long Rushing,The amount of yards for the longest run.,LNG,57,24,11
Cardinals,Miscellaneous Yards,The amount of miscellaneous yards.,MISC,0,,1
Cardinals,Net Total Yards,The amount of total net yards.,NTYDS,6352,,8
Cardinals,Net Yards Per Game,The total net yards gained per game.,CMP,373.64706,,8
Cardinals,Rushing Attempts,The total number of attempted rushes.,ATT,496,29,7
Cardinals,20+ Yard Rushing Plays,The number of rushing big plays gained.,BIG,10,,14
Cardinals,Rushing 1st downs,The number of times a first down is picked up by a run.,FD,127,7,10
Cardinals,Rushing Fumbles,The number of times there is a run and then the ball is fumbled.,FUM,10,,14
Cardinals,Rushing Fumbles Lost,The number of times there is a run and then the ball is fumbled.,LST,0,,30
Cardinals,Rushing Touchdowns,The total number of rushing touchdowns.,TD,23,1,3
Cardinals,Rushing Yards,The total rushing yards.,YDS,2076,122,10
Cardinals,Rushing Yards Per Game,The average number of rushing yards per game.,YDS/G,122.118,,10
